S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Link
90,SIDHI(11),DR. RAJESH MISHRA,583559,206416,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1211.htm
91,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1212.htm
92,JABALPUR(13),ASHISH DUBEY,790133,486674,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1213.htm
93,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1214.htm
94,BALAGHAT(15),BHARTI PARDHI,712660,174512,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1215.htm
95,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1216.htm
96,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1217.htm
97,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1218.htm
98,BHOPAL(19),ALOK SHARMA,981109,501499,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1219.htm
99,RAJGARH(20),RODMAL NAGAR,758743,146089,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1220.htm
100,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1221.htm
101,UJJAIN(22),ANIL FIROJIYA,836104,375860,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1222.htm
102,MANDSOUR(23),SUDHEER GUPTA,945761,500655,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1223.htm
103,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1224.htm
104,DHAR(25),SAVITRI THAKUR,794449,218665,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1225.htm
105,INDORE(26),SHANKAR LALWANI,1226751,1175092,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1226.htm
106,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S1227.htm
